City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2022-03-01 19:43:04,-24.8667,113.6333,73.47,64,40,21.85
1,Talaja,IN,2022-03-01 19:43:04,21.35,72.05,77.36,31,0,10.83
2,Bengkulu,ID,2022-03-01 19:43:05,-3.8004,102.2655,76.03,85,100,4.25
3,Mataura,NZ,2022-03-01 19:39:52,-46.1927,168.8643,46.47,87,15,2.24
4,Luderitz,NA,2022-03-01 19:43:05,-26.6481,15.1594,67.32,74,0,14.52
5,Bredasdorp,ZA,2022-03-01 19:43:06,-34.5322,20.0403,69.28,73,65,1.14
6,Kapaa,US,2022-03-01 19:43:06,22.0752,-159.319,76.48,75,20,10.36
7,Nikolskoye,RU,2022-03-01 19:43:07,59.7035,30.7861,33.69,89,11,6.15
8,Bluff,NZ,2022-03-01 19:43:07,-46.6,168.3333,46.8,70,4,10.4
9,Qaanaaq,GL,2022-03-01 19:43:08,77.484,-69.3632,6.22,58,7,12.95
10,Katsuura,JP,2022-03-01 19:43:08,35.1333,140.3,50.14,72,32,10.49
11,Hirara,JP,2022-03-01 19:43:08,24.8,125.2833,70.93,75,100,7.63
12,Yellowknife,CA,2022-03-01 19:39:19,62.456,-114.3525,-4.59,68,0,6.91
13,Kenai,US,2022-03-01 19:41:16,60.5544,-151.2583,30.15,88,100,0.0
14,Punta Arenas,CL,2022-03-01 19:43:09,-53.15,-70.9167,48.31,81,75,31.07
15,Tiksi,RU,2022-03-01 19:43:10,71.6872,128.8694,-21.93,100,98,3.67
16,Georgetown,MY,2022-03-01 19:39:52,5.4112,100.3354,80.53,88,20,2.3
17,Valparaiso,CL,2022-03-01 19:42:42,-33.0393,-71.6273,84.43,36,0,16.11
18,Torbay,CA,2022-03-01 19:43:10,47.6666,-52.7314,21.88,54,20,20.71
19,Hithadhoo,MV,2022-03-01 19:43:11,-0.6,73.0833,84.74,63,21,15.52
20,Axim,GH,2022-03-01 19:43:11,4.8699,-2.2405,80.38,85,83,10.6
21,Usinsk,RU,2022-03-01 19:43:11,65.9939,57.5281,3.18,100,86,5.75
22,Atuona,PF,2022-03-01 19:43:12,-9.8,-139.0333,78.58,72,2,20.49
23,Rikitea,PF,2022-03-01 19:39:39,-23.1203,-134.9692,78.26,74,97,7.11
24,Jamestown,US,2022-03-01 19:38:13,42.097,-79.2353,49.32,39,20,18.41
25,Dongsheng,CN,2022-03-01 19:43:13,39.8161,109.9776,22.8,40,0,9.44
26,Marawi,PH,2022-03-01 19:43:13,7.9986,124.2928,66.65,93,93,1.43
27,Kautokeino,NO,2022-03-01 19:43:14,69.0125,23.0412,28.18,78,100,14.47
28,Olafsvik,IS,2022-03-01 19:43:14,64.8945,-23.7142,31.96,73,100,16.64
29,Turka,UA,2022-03-01 19:43:14,49.1541,23.0297,30.25,91,78,3.11
30,Mar Del Plata,AR,2022-03-01 19:41:47,-38.0023,-57.5575,79.88,47,0,26.46
31,Albany,US,2022-03-01 19:38:36,42.6001,-73.9662,39.09,58,100,1.99
32,Avarua,CK,2022-03-01 19:43:15,-21.2078,-159.775,78.85,94,75,5.75
33,Suez,EG,2022-03-01 19:43:16,29.9737,32.5263,65.68,43,97,6.98
34,Saint-Joseph,RE,2022-03-01 19:43:16,-21.3667,55.6167,75.58,85,60,7.29
35,Butaritari,KI,2022-03-01 19:43:17,3.0707,172.7902,80.24,81,43,8.66
36,New Norfolk,AU,2022-03-01 19:43:17,-42.7826,147.0587,60.3,83,95,2.3
37,Khilok,RU,2022-03-01 19:43:17,51.3674,110.4676,-1.01,98,88,3.56
38,Noyabrsk,RU,2022-03-01 19:43:18,63.1994,75.4507,2.28,91,100,25.3
39,Verkhnevilyuysk,RU,2022-03-01 19:43:18,63.4453,120.3167,-20.33,100,100,2.24
40,Nara,JP,2022-03-01 19:43:18,34.6851,135.8049,45.68,92,98,2.71
41,Malanje,AO,2022-03-01 19:43:19,-9.5402,16.341,65.19,96,100,4.92
