City_ID,City,Country,Date,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sorong,ID,2022-03-02 19:49:04,-0.8833,131.25,Light Rain,80.29,79,100,2.8
1,Batemans Bay,AU,2022-03-02 19:49:05,-35.7167,150.1833,Light Rain,68.2,92,98,10.89
2,Roald,NO,2022-03-02 19:49:05,62.5833,6.1333,Broken Clouds,39.33,100,75,3.44
3,San Cristobal,VE,2022-03-02 19:49:06,7.7669,-72.225,Broken Clouds,78.98,39,65,5.46
4,Pochutla,MX,2022-03-02 19:49:07,15.7432,-96.4661,Clear Sky,88.83,43,3,10.29
5,Chokurdakh,RU,2022-03-02 19:49:07,70.6333,147.9167,Scattered Clouds,-28.25,100,42,2.15
6,Cape Town,ZA,2022-03-02 19:49:08,-33.9258,18.4232,Few Clouds,70.12,87,20,8.05
7,Kapaa,US,2022-03-02 19:49:08,22.0752,-159.319,Clear Sky,76.48,77,0,6.91
8,Vaini,TO,2022-03-02 19:49:09,-21.2,-175.2,Broken Clouds,75.36,100,75,3.44
9,Atuona,PF,2022-03-02 19:44:24,-9.8,-139.0333,Light Rain,78.19,80,22,19.06
10,Upata,VE,2022-03-02 19:49:10,8.0086,-62.3989,Few Clouds,82.18,40,15,5.53
11,San Quintin,MX,2022-03-02 19:49:11,30.4833,-115.95,Overcast Clouds,70.52,37,94,8.52
12,Hermanus,ZA,2022-03-02 19:49:12,-34.4187,19.2345,Clear Sky,69.91,83,0,13.76
13,Kroya,ID,2022-03-02 19:49:12,-7.6331,109.2461,Overcast Clouds,76.03,88,98,3.06
14,Husavik,IS,2022-03-02 19:49:13,66.0449,-17.3389,Overcast Clouds,42.71,91,100,25.5
15,Ushuaia,AR,2022-03-02 19:49:13,-54.8,-68.3,Broken Clouds,53.26,50,75,14.97
16,Albany,US,2022-03-02 19:45:07,42.6001,-73.9662,Overcast Clouds,39.63,56,98,3.0
17,Luganville,VU,2022-03-02 19:49:14,-15.5333,167.1667,Overcast Clouds,76.8,88,99,2.68
18,Tayoltita,MX,2022-03-02 19:49:15,24.0833,-105.9333,Overcast Clouds,85.89,13,100,7.81
19,Guerrero Negro,MX,2022-03-02 19:49:15,27.9769,-114.0611,Overcast Clouds,75.24,30,98,7.9
20,Jasper,US,2022-03-02 19:48:17,37.2001,-94.3502,Clear Sky,77.05,15,0,19.57
21,Shirokiy,RU,2022-03-02 19:49:16,49.758,129.523,Few Clouds,-11.11,100,12,4.36
22,Avarua,CK,2022-03-02 19:46:58,-21.2078,-159.775,Few Clouds,84.25,79,20,10.36
23,Malaya Purga,RU,2022-03-02 19:49:17,56.5567,53.0043,Overcast Clouds,8.17,100,94,4.54
24,Saskylakh,RU,2022-03-02 19:49:17,71.9167,114.0833,Overcast Clouds,-30.26,100,88,4.97
25,Torbay,CA,2022-03-02 19:45:13,47.6666,-52.7314,Overcast Clouds,31.28,75,100,19.57
26,Fortuna,US,2022-03-02 19:49:19,40.5982,-124.1573,Broken Clouds,65.93,73,75,3.0
27,Rikitea,PF,2022-03-02 19:49:19,-23.1203,-134.9692,Light Rain,79.2,71,15,17.34
28,Jinka,ET,2022-03-02 19:49:20,5.65,36.65,Light Rain,72.75,47,89,1.63
29,Mahebourg,MU,2022-03-02 19:49:20,-20.4081,57.7,Broken Clouds,80.89,89,75,12.66
30,Berga,NO,2022-03-02 19:49:21,60.392,5.328,Broken Clouds,41.65,92,75,4.61
31,Airai,TL,2022-03-02 19:49:22,-8.9266,125.4092,Few Clouds,60.42,87,14,1.95
32,College,US,2022-03-02 19:49:22,64.8569,-147.8028,Fog,14.07,84,40,0.0
33,Havre,FR,2022-03-02 19:49:23,49.5833,0.3333,Clear Sky,51.57,62,0,5.75
34,Georgetown,MY,2022-03-02 19:47:27,5.4112,100.3354,Scattered Clouds,78.73,93,40,3.44
35,Cherskiy,RU,2022-03-02 19:49:24,68.75,161.3,Broken Clouds,-24.84,100,65,2.24
36,Marshall,US,2022-03-02 19:49:24,34.3834,-86.3333,Clear Sky,76.21,29,0,7.0
37,Pozo Colorado,PY,2022-03-02 19:49:25,-23.4923,-58.7972,Overcast Clouds,91.47,52,100,8.86
38,Bluff,NZ,2022-03-02 19:49:25,-46.6,168.3333,Overcast Clouds,43.81,79,100,3.83
39,Axim,GH,2022-03-02 19:49:26,4.8699,-2.2405,Light Rain,79.95,85,22,4.59
40,Cidreira,BR,2022-03-02 19:49:26,-30.1811,-50.2056,Few Clouds,78.15,81,13,10.74
41,Carnarvon,AU,2022-03-02 19:49:26,-24.8667,113.6333,Clear Sky,68.07,60,0,24.16
42,Busselton,AU,2022-03-02 19:49:27,-33.65,115.3333,Scattered Clouds,48.09,70,31,5.68
43,Hithadhoo,MV,2022-03-02 19:50:27,-0.6,73.0833,Scattered Clouds,84.69,66,47,9.89
44,Lasa,IT,2022-03-02 19:50:28,46.6166,10.7002,Overcast Clouds,43.68,78,99,4.76
45,Saldanha,ZA,2022-03-02 19:50:29,-33.0117,17.9442,Clear Sky,69.85,92,1,3.65
46,East London,ZA,2022-03-02 19:49:26,-33.0153,27.9116,Overcast Clouds,73.6,78,100,13.06
47,Yellowknife,CA,2022-03-02 19:50:29,62.456,-114.3525,Clear Sky,0.41,62,0,0.0
48,Aginskoye,RU,2022-03-02 19:50:30,51.1,114.53,Overcast Clouds,-2.36,97,97,1.57
49,Flin Flon,CA,2022-03-02 19:50:30,54.7682,-101.865,Clear Sky,-0.56,46,0,9.22
50,Kahului,US,2022-03-02 19:50:31,20.8947,-156.47,Scattered Clouds,80.83,69,40,5.01
51,Hervey Bay,AU,2022-03-02 19:50:31,-25.2986,152.8535,Scattered Clouds,82.51,96,31,5.99
52,Tommot,RU,2022-03-02 19:50:31,58.9564,126.2925,Broken Clouds,-15.5,99,84,2.75
53,Sorland,NO,2022-03-02 19:50:32,67.667,12.6934,Overcast Clouds,37.26,58,98,18.66
54,Belyy Yar,RU,2022-03-02 19:50:32,53.6039,91.3903,Light Shower Snow,21.09,73,40,2.24
55,Beyneu,KZ,2022-03-02 19:50:33,45.3167,55.2,Broken Clouds,44.33,70,80,10.16
56,Sitka,US,2022-03-02 19:50:34,57.0531,-135.33,Overcast Clouds,40.89,81,100,9.22
57,Mataura,NZ,2022-03-02 19:50:34,-46.1927,168.8643,Overcast Clouds,43.48,76,97,0.96
58,Faanui,PF,2022-03-02 19:50:34,-16.4833,-151.75,Few Clouds,81.86,69,18,18.84
59,Alta Floresta,BR,2022-03-02 19:50:35,-9.8756,-56.0861,Few Clouds,89.42,55,20,5.75
60,Punta Arenas,CL,2022-03-02 19:48:19,-53.15,-70.9167,Overcast Clouds,50.11,81,100,11.5
61,Arraial Do Cabo,BR,2022-03-02 19:50:36,-22.9661,-42.0278,Clear Sky,91.36,58,0,19.57
62,Teahupoo,PF,2022-03-02 19:50:36,-17.8333,-149.2667,Light Rain,78.76,75,38,19.62
63,Maceio,BR,2022-03-02 19:50:36,-9.6658,-35.7353,Scattered Clouds,85.44,65,40,13.8
64,Khani,GE,2022-03-02 19:50:37,41.9563,42.9566,Overcast Clouds,44.17,81,100,4.05
65,Karratha,AU,2022-03-02 19:50:38,-20.7377,116.8463,Broken Clouds,87.15,65,55,5.46
66,Poya,NC,2022-03-02 19:50:38,-21.35,165.15,Overcast Clouds,78.4,86,89,3.36
67,Ichinohe,JP,2022-03-02 19:50:38,40.2069,141.3017,Few Clouds,23.85,93,21,5.77
68,Tigzirt,DZ,2022-03-02 19:50:39,36.8886,4.1198,Clear Sky,52.63,60,5,4.97
69,Salalah,OM,2022-03-02 19:50:40,17.0151,54.0924,Clear Sky,73.63,62,4,0.81
70,Fare,PF,2022-03-02 19:50:40,-16.7,-151.0167,Light Rain,80.96,75,46,16.96
71,Coihaique,CL,2022-03-02 19:50:41,-45.5752,-72.0662,Broken Clouds,70.41,68,75,4.61
72,Qaanaaq,GL,2022-03-02 19:50:41,77.484,-69.3632,Clear Sky,4.19,54,8,8.46
73,Tiksi,RU,2022-03-02 19:50:42,71.6872,128.8694,Broken Clouds,-24.09,100,79,1.57
